,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp (F),Wind speed
153,Verkhnyaya Inta,64,RU,1541299609,79,65.99,60.32,22.36,4.09
154,Biltine,0,TD,1541299609,63,14.53,20.93,60.48,3.04
155,Sechura,64,PE,1541299609,84,-5.56,-80.82,69.61,13.44
156,Port Blair,0,IN,1541299609,98,11.67,92.75,84.37,15.39
157,Kharhial,76,IN,1541299609,56,20.28,82.77,80.19,2.75
158,Leon,90,US,1541297700,86,40.74,-93.75,46.94,4.7
159,Henderson,20,US,1541297700,22,36.04,-114.98,71.96,10.29
160,Sobolevo,8,RU,1541299610,95,54.43,31.9,40.81,7.52
161,Lavrentiya,76,RU,1541299610,100,65.58,-170.99,36.63,9.57
162,Sao Paulo de Olivenca,8,BR,1541299611,88,-3.38,-68.87,78.16,2.86
163,Giddalur,88,IN,1541299611,100,15.38,78.93,74.25,2.75
164,Karmaskaly,90,RU,1541296800,74,54.37,56.17,35.6,15.66
165,Nouadhibou,56,MR,1541296800,88,20.93,-17.03,66.2,12.75
166,Awjilah,0,LY,1541299611,80,29.14,21.3,53.32,3.2
167,Meadow Lake,88,CA,1541299612,90,54.13,-108.44,35.68,7.34
168,Kouroussa,8,GN,1541299612,78,10.65,-9.88,72.85,7.63
169,Cabo San Lucas,5,MX,1541295840,73,22.89,-109.91,75.2,5.82
170,Timbuktu,0,ML,1541299613,33,16.77,-3.01,74.61,10.92
171,Nome,40,US,1541297700,71,30.04,-94.42,73.04,9.17
172,Maniitsoq,48,GL,1541299614,100,65.42,-52.9,13.81,7.9
173,Lompoc,1,US,1541298900,42,34.64,-120.46,69.08,6.93
174,Poum,32,MK,1541299614,87,41.28,20.71,37.75,1.81
175,Mahebourg,40,MU,1541296800,88,-20.41,57.7,71.6,6.11
176,Tura,88,IN,1541299615,97,25.52,90.21,68.71,3.76
177,Churapcha,56,RU,1541299615,62,62.0,132.43,11.79,9.64
178,Luderitz,44,NA,1541296800,72,-26.65,15.16,60.8,6.93
179,Gafanha da Encarnacao,75,PT,1541298600,93,40.62,-8.73,55.4,6.06
180,Terra Santa,32,BR,1541299615,89,-2.1,-56.49,78.3,3.31
181,Ixtapa,90,MX,1541296020,88,20.71,-105.21,77.0,3.36
182,Kawalu,48,ID,1541299616,83,-7.38,108.21,74.92,2.82
183,Sterlitamak,80,RU,1541299616,78,53.63,55.95,30.78,11.77
184,Luwuk,0,ID,1541299616,69,-0.95,122.79,88.6,2.48
185,Norman Wells,20,CA,1541296800,84,65.28,-126.83,5.0,5.82
186,Pindiga,12,NG,1541299617,78,9.98,10.93,66.78,4.99
187,Cabinda,88,AO,1541299617,100,-5.56,12.19,77.8,6.51
188,Avarua,75,CK,1541296800,60,-21.21,-159.78,75.2,12.75
189,Cherskiy,64,RU,1541299617,80,68.75,161.3,-4.6,2.98
190,Longview,90,US,1541297700,65,32.5,-94.74,68.0,9.17
191,Geraldton,90,CA,1541296800,86,49.72,-86.95,26.6,3.36
192,Kloulklubed,75,PW,1541296200,70,7.04,134.26,86.0,6.93
193,Fontem,56,CM,1541299618,97,5.49,9.85,61.15,2.08
194,Umred,8,IN,1541298600,69,20.85,79.32,77.0,4.54
195,Ilulissat,80,GL,1541296200,78,69.22,-51.1,17.6,16.11
196,Port Hedland,0,AU,1541298600,30,-20.31,118.58,96.8,14.99
197,Qaanaaq,32,GL,1541299619,100,77.48,-69.36,3.15,8.41
198,Clifton,0,AU,1541296800,30,-27.93,151.91,93.2,14.99
199,Shagonar,8,RU,1541299619,92,51.54,92.92,9.85,3.87
200,Kaitangata,56,NZ,1541299683,75,-46.28,169.85,50.35,27.76
201,Etchojoa,5,MX,1541295600,47,26.91,-109.62,75.2,4.7
202,Arraial do Cabo,56,BR,1541299683,84,-22.97,-42.02,76.63,16.06
203,Khatanga,68,RU,1541299683,80,71.98,102.47,6.16,14.12
204,Turinskaya Sloboda,92,RU,1541299684,95,57.62,64.39,31.68,11.65
205,Finnsnes,88,NO,1541298000,100,69.23,17.98,30.2,19.46
206,Narsaq,0,GL,1541296200,44,60.91,-46.05,21.2,5.82
207,College Station,90,US,1541297700,77,30.63,-96.33,69.62,9.17
208,Bethel,75,US,1541296380,74,60.79,-161.76,30.02,9.17
209,Okato,92,NZ,1541299685,94,-39.19,173.88,56.7,25.57
210,Rawson,8,AR,1541299685,35,-43.3,-65.11,65.38,18.03
211,Kodiak,90,US,1541296380,85,39.95,-94.76,51.08,9.17
212,Khandagayty,12,MN,1541299686,59,50.73,92.07,9.18,4.09
213,Sitka,0,US,1541299657,47,37.17,-99.65,51.25,12.26
214,Namibe,8,AO,1541299686,100,-15.19,12.15,69.43,11.54
215,Neiafu,20,TO,1541296800,50,-18.65,-173.98,78.8,10.29
216,Conceicao do Araguaia,32,BR,1541299686,95,-8.26,-49.26,76.05,3.04
217,Esperance,20,TT,1541296800,88,10.24,-61.45,77.0,5.1
218,Warrington,75,GB,1541298000,93,53.39,-2.59,53.6,12.75
219,Alihe,0,CN,1541299687,41,50.57,123.73,23.08,3.6
220,Hue,40,VN,1541298600,66,16.47,107.58,84.2,3.36
221,Joao Pinheiro,44,BR,1541299688,89,-17.74,-46.17,69.16,3.83
222,Ladispoli,40,IT,1541298000,88,41.95,12.07,66.2,17.22
223,Gwadar,20,PK,1541299688,72,25.12,62.33,69.07,22.73
224,Meulaboh,0,ID,1541299688,100,4.14,96.13,80.28,2.71
225,Georgetown,20,GY,1541296800,94,6.8,-58.16,77.0,4.7
226,Sokolo,8,ML,1541299689,52,14.74,-6.12,67.36,4.99
227,Shar,32,NG,1541299689,90,7.3,8.73,74.56,7.56
228,Zaranj,0,AF,1541296800,16,30.95,61.86,44.6,26.4
229,Itarema,36,BR,1541299690,87,-2.92,-39.92,77.31,12.03
230,Puerto Lempira,92,HN,1541299690,93,15.27,-83.77,75.69,3.2
231,Coahuayana,92,MX,1541299690,97,18.62,-100.35,63.85,1.81
232,Puerto Ayora,8,EC,1541299691,100,-0.74,-90.35,72.0,12.37
233,Tadine,0,NC,1541299691,91,-21.55,167.88,75.91,14.16
234,Valparaiso,90,US,1541297700,70,41.47,-87.06,48.02,6.93
235,Bathsheba,20,BB,1541296800,69,13.22,-59.52,80.6,13.87
236,Antalaha,56,MG,1541299691,100,-14.9,50.28,73.53,3.49
237,Broome,32,GB,1541298000,81,52.47,1.45,47.12,12.75
238,Maloy,56,ID,1541299692,61,1.0,118.1,86.26,3.04
239,Nuuk,8,GL,1541296200,72,64.17,-51.74,17.6,5.82
240,Naze,76,NG,1541299692,93,5.43,7.07,74.61,4.09
241,Thinadhoo,80,MV,1541299608,100,0.53,72.93,82.08,5.5
242,Manbij,75,SY,1541298000,44,36.53,37.96,60.8,11.41
243,Barcelos,75,PT,1541298600,93,41.53,-8.62,55.4,2.04
244,Zyryanka,80,RU,1541299693,68,65.73,150.89,2.11,9.64
245,Vondrozo,92,MG,1541299693,99,-22.82,47.32,65.65,4.32
246,Chuy,0,UY,1541299544,96,-33.69,-53.46,54.36,3.27
247,Nicoya,75,CR,1541296800,83,10.15,-85.45,78.8,3.36
248,Moose Jaw,90,CA,1541296800,88,50.4,-105.54,32.0,11.41
249,Wilmington,1,US,1541297700,75,39.75,-75.55,50.0,9.64
250,Luziania,75,BR,1541296800,88,-16.25,-47.95,68.0,4.7
251,Mali,24,CN,1541299757,54,27.53,102.2,53.64,1.7
252,Mao,20,DO,1541296800,94,19.55,-71.08,77.0,4.7
253,Puerto Maldonado,0,PE,1541299758,71,-12.59,-69.19,81.58,2.75
254,Zhuhai,40,CN,1541296800,64,40.71,112.04,33.8,4.47
255,Prince Rupert,90,CA,1541296860,93,54.32,-130.32,51.8,19.46
256,Lebu,0,ET,1541299758,82,8.96,38.73,38.79,2.71
257,Cabra,0,ES,1541298600,93,37.47,-4.43,46.4,2.24
258,Jacareacanga,36,BR,1541299759,92,-6.22,-57.76,77.04,1.97
259,Altamira,8,BR,1541299759,86,-3.2,-52.21,78.39,3.71
260,Ola,40,RU,1541296800,68,59.58,151.3,24.8,6.71
261,Kjollefjord,88,NO,1541299760,92,70.95,27.35,36.67,5.84
262,Tuatapere,68,NZ,1541299760,100,-46.13,167.69,49.41,23.55
263,Sillamae,0,EE,1541299760,100,59.4,27.75,41.71,9.75
264,Yilan,75,TW,1541296800,78,24.75,121.75,80.6,6.93
265,Nouakchott,8,MR,1541299761,97,18.08,-15.98,72.13,15.57
266,Fort Nelson,90,CA,1541296800,85,58.81,-122.69,17.6,2.24
267,Otane,0,NZ,1541299761,50,-39.89,176.62,58.05,19.42
268,Baghdad,90,IQ,1541296800,72,33.3,44.38,66.2,6.93
269,Llandrindod Wells,92,GB,1541299762,96,52.24,-3.38,52.2,14.27
270,Vardo,1,US,1541297700,51,39.62,-77.74,46.94,4.7
271,Gisborne,0,NZ,1541299762,50,-38.66,178.02,67.9,13.33
272,Rundu,76,NA,1541299762,80,-17.91,19.77,66.78,8.57
273,Gazojak,0,TM,1541299763,94,41.19,61.4,22.23,2.98
274,Faanui,8,PF,1541299763,100,-16.48,-151.75,82.66,7.11
275,Bloomfield,75,US,1541298900,100,40.75,-92.42,48.2,11.41
276,Caravelas,80,BR,1541299763,100,-17.73,-39.27,77.76,17.69
277,Kozhva,88,RU,1541299764,93,65.11,57.05,28.89,6.06
278,Cayenne,0,GF,1541296800,83,4.94,-52.33,78.8,1.12
279,Sorong,0,ID,1541299764,100,-0.86,131.25,84.37,4.21
280,Bikapur,76,IN,1541299764,53,26.66,82.14,76.27,4.5
281,Mehamn,88,NO,1541299765,92,71.03,27.85,36.67,5.84
282,Mitsamiouli,20,KM,1541299765,100,-11.38,43.28,76.95,12.1
283,Chipiona,0,PE,1541299765,88,-14.54,-75.2,47.92,1.86
284,Huilong,0,CN,1541299765,49,28.89,110.18,68.94,3.04
285,Chapais,90,CA,1541297220,92,49.78,-74.86,30.2,14.99
286,Kiunga,32,PG,1541299766,67,-6.12,141.3,89.32,2.98
287,Saldanha,8,PT,1541299766,84,41.42,-6.55,33.61,2.98
288,Saint-Augustin,64,FR,1541298600,93,44.83,-0.61,39.2,3.36
289,Kulhudhuffushi,20,MV,1541299766,100,6.62,73.07,83.34,6.06
290,Gizo,0,IL,1541298000,55,31.8,34.94,60.8,2.24
291,San Antonio,0,CL,1541296800,93,-33.58,-71.61,50.0,2.71
292,Vaitape,24,PF,1541299768,100,-16.52,-151.75,81.76,4.99
293,Birjand,0,IR,1541296800,43,32.86,59.22,33.8,9.17
294,North Bend,1,US,1541296560,93,43.41,-124.22,53.96,3.36
295,Wakkanai,20,JP,1541296800,54,45.41,141.67,59.0,19.46
296,Santa Lucia,92,IT,1541299770,100,39.93,9.66,56.88,13.6
297,Wyndham,90,GB,1541298000,93,51.61,-3.54,55.4,13.87
298,Anloga,40,GH,1541296800,94,5.79,0.9,78.8,1.12
299,Moroni,20,US,1541299771,73,39.52,-111.59,29.88,1.81
300,Honiara,75,SB,1541296800,79,-9.43,159.96,84.2,5.82
301,Quepos,75,CR,1541296800,94,9.43,-84.16,69.8,4.7
302,Bolekhiv,80,UA,1541299834,87,49.07,23.86,47.7,3.27
303,Longyearbyen,20,NO,1541298000,68,78.22,15.63,30.2,33.33
304,San Clemente,20,US,1541299200,93,33.43,-117.61,78.98,4.7
305,Vila Franca do Campo,75,PT,1541298600,88,37.72,-25.43,66.2,11.41
306,Honggang,20,CN,1541299835,58,29.51,114.87,72.45,3.2
307,Buckeye,1,US,1541298900,37,33.37,-112.58,75.02,8.05
308,Tsiroanomandidy,0,MG,1541299836,74,-18.77,46.05,54.18,2.75
309,Presidencia Roque Saenz Pena,36,AR,1541299836,94,-26.79,-60.44,70.6,7.11
310,Kavaratti,32,IN,1541299836,100,10.57,72.64,82.93,12.66
311,Port Hawkesbury,40,CA,1541296800,82,45.62,-61.36,57.2,27.51
312,Saint-Malo,0,FR,1541298600,81,48.65,-2.02,50.0,12.75
313,Souillac,32,FR,1541298600,100,45.6,-0.6,42.8,3.09
314,Mandiana,24,GN,1541299837,78,10.62,-8.7,72.31,7.0
315,Pringsewu,20,ID,1541299837,76,-5.36,104.98,85.59,2.75
316,Florianopolis,75,BR,1541296800,94,-27.6,-48.55,68.0,10.29
317,Karatau,68,KZ,1541299838,75,43.18,70.46,24.52,1.3
318,Tena,0,EC,1541299838,85,-0.99,-77.82,57.06,2.59
319,Sioux Lookout,90,CA,1541296800,92,50.1,-91.92,28.4,2.48
320,Benguela,44,AO,1541299838,100,-12.58,13.4,74.02,4.72
321,Portland,90,US,1541296560,89,45.52,-122.67,55.04,5.82
322,Khorixas,0,NA,1541299839,85,-20.37,14.96,53.5,2.48
323,Te Anau,80,NZ,1541299839,84,-45.41,167.72,45.22,11.92
324,Neyshabur,0,IR,1541299839,76,36.21,58.79,20.2,3.38
325,Kaili,24,ID,1541299840,66,-3.46,120.21,83.2,2.98
326,Isla Vista,1,US,1541298900,42,34.41,-119.86,68.0,6.93
327,Waitati,20,NZ,1541299840,61,-45.75,170.57,51.97,22.32
328,Zhigansk,80,RU,1541299840,80,66.77,123.37,6.48,8.52
329,Casino,0,AU,1541299840,47,-28.86,153.05,93.15,2.04
330,Siniscola,40,IT,1541298000,82,40.57,9.69,64.4,10.29
331,Roald,24,NO,1541298000,66,62.58,6.12,55.4,14.99
332,Ouango,36,CD,1541299841,100,4.31,22.55,68.31,2.19
333,Colares,20,PT,1541298600,87,38.8,-9.45,53.6,1.12
334,Leshukonskoye,92,RU,1541299841,100,64.9,45.76,35.19,3.49
335,Soni,32,TZ,1541299842,94,-4.85,38.37,54.4,1.48
336,Semnan,20,IR,1541296800,48,35.58,53.39,44.6,6.22
337,Wainwright,0,CA,1541299842,86,52.84,-110.86,28.35,9.64
338,Sarapul,92,RU,1541299842,96,56.48,53.82,35.01,12.1
339,Coihaique,90,CL,1541296800,93,-45.58,-72.07,44.6,8.05
340,Luwero,92,UG,1541299843,97,0.85,32.47,63.76,1.3
341,Bilibino,80,RU,1541299843,86,68.06,166.44,1.48,2.75
342,Emba,0,CY,1541298600,59,34.81,32.42,73.4,6.93
343,Beringovskiy,68,RU,1541299843,100,63.05,179.32,31.68,7.9
344,Rabat,75,MA,1541298600,87,34.02,-6.83,60.8,3.36
345,Poronaysk,0,RU,1541299844,85,49.22,143.1,35.19,9.42
346,Khotyn,64,UA,1541299844,86,48.51,26.49,49.59,6.33
347,Taoudenni,0,ML,1541299844,40,22.68,-3.98,57.78,12.44
348,Paamiut,0,GL,1541299845,100,61.99,-49.67,29.11,12.37
349,Talnakh,64,RU,1541299845,87,69.49,88.39,-0.46,2.75
350,Taltal,0,CL,1541299908,98,-25.41,-70.49,54.67,1.25
351,Ponta Delgada,75,PT,1541298600,88,37.73,-25.67,66.2,11.41
352,Krasyukovskaya,56,RU,1541299908,97,47.53,40.09,38.11,4.32
353,Callaway,90,US,1541297700,64,46.98,-95.91,37.94,3.36
354,Evanston,90,US,1541299500,75,42.04,-87.69,46.04,9.17
355,Polunochnoye,92,RU,1541299909,97,60.87,60.43,32.08,8.12
356,Ufimskiy,92,RU,1541299909,98,56.71,58.05,34.74,10.8
357,Point Pedro,8,LK,1541299910,90,9.82,80.23,84.73,13.44
358,Barreirinha,20,BR,1541299910,93,-2.8,-57.07,77.04,1.97
359,Alamogordo,1,US,1541297700,23,32.9,-105.96,53.6,10.29
360,Orchard Homes,90,US,1541296380,65,46.86,-114.05,44.96,4.7
361,Smithers,90,CA,1541296800,100,54.78,-127.17,41.0,4.7
362,Sonqor,0,IR,1541296800,35,34.78,47.6,55.4,11.41
363,Gandzak,20,AM,1541296800,93,40.33,45.12,37.4,1.12
364,Safakulevo,76,RU,1541299911,94,54.99,62.54,29.56,13.33
365,Maragogi,100,BR,1541299665,88,-9.01,-35.22,76.05,7.11
366,Santiago,0,CL,1541296800,58,-33.44,-70.65,59.0,8.05
367,Tiksi,48,RU,1541299912,75,71.64,128.87,-0.19,9.86
368,Victoria,75,BN,1541298600,70,5.28,115.24,89.6,3.36
369,Hami,0,CN,1541299913,55,42.84,93.51,33.52,6.33
370,Zaysan,88,KZ,1541299913,69,47.47,84.87,19.57,3.49
371,Burns Lake,92,CA,1541299913,100,54.23,-125.76,41.17,4.76
372,Lethem,68,GY,1541299913,93,3.38,-59.8,74.65,1.07
373,Codrington,0,AU,1541299914,47,-28.95,153.24,93.15,2.04
374,Shache,88,CN,1541299914,100,38.42,77.24,35.1,2.82
